 ,Review,an_uong
0,"Ở đây sáng có bán thêm Bún Rạm Cua Đồng rất ngon , nhiều rạm , nước lèo đậm vị , sánh đặc chứ không lỏng bỏng như các nơi khác mình ăn , mỗi phần được kèm thêm ly trà đá , rất lịch sự , sạch sẽ , bài bản , các bạn thưởng thức nhé ❤️",5
1,Chuyến đi quy nhơn đầy ý nghĩa,5
2,Cảm ơn foody đã cho gia đình mình đi đúng địa chỉ và được ăn ngon,5
3,"Món cua sốt singapo hơi cay, nhưng mà ngon...còn tôm sốt thái thì khỏi phải bàn nữa...",5
4,10 điểm cho người miền trung,5
5,hải sản tươi sống. giá cả hợp lí,5
6,"Cua bình định không dây giá 450n / kg , tôm đất già 250n / kg , lẩu riêu cua bắp bò 250 nồi . Mình thấy giá trên rất hợp lý , nhà hàng nấu cũng được và sạch sẽ",4
7,"Giá cả bình dân, đồ ăn ngon ,hợp khẩu vị miền bắc...",5
8,"Nấu ngon,hương vị đậm đà ,giá rẻ",5
9,Verry good.,5
10,"Ở quy nhơn,mình khám phá nhiều quán...nhưng chốt lại vị cua là ok nhất...món ăn đa dạng, nấu theo phong cách nhà hàng,giá rẻ ,mình hơi bất ngờ là quán hơi vắng...tại vì nằm ở đường nhỏ thôi...mọi người nên ghé..",5
11,Khẩu vị rất hợp với người hà nội. Đặc biệt là các món cua..,5
12,"Tụi mình đi du lịch mà cũng không quen biết ai nên thấy gần homestay thì qua thôi cơ mà hài lòng ngoài mong đợi ấy nên qua ăn luôn cả 2 hôm ở Quy Nhơn. Hải sản rất là tươi luôn mà giá cũng rẻ nữa. Đi 2 hôm nên ăn cũng coi như hết món trừ lẩu tại đi buổi trưa nóng quá :)))
Gỏi ngon nè. Nắng ăn là hết ý. Nhân viên thân thiện nữa. Hôm nay còn được tặng 2 hũ mực rim nữa
Mọi người có đi du lịch có thể ghé quán nè 
Ăn bét nhè 2 ngày chời có 600k thôi
Điểm trừ là buổi trưa quán hơi nóng",4
13,Đi 3 ngày rồi mới ăn được quán ngon và rẻ,5
14,"Mình đến quán thấy quán rất là vắng...nghĩ chắc foody bình luận sai...nhưng lỡ đến rồi vào luôn xem thử thế nào... ai ngờ ngon mà lại rẻ nữa. .. ăn đứt nhiều quán ở biển đường xuân diệu mắc với lại ko ngon...sở dĩ mình review là thư 1 muốn giúp những bạn đi du lịch như mình kiếm được chỗ ăn ngon, giá hợp lý. Thứ 2 là muốn review cho vị Cua ...mình rút ra bài học.. vắng thì người ta sẽ chăm chuốt món ăn nhiều hơn ...kkkk",5
15,"Khách du lịch đến quy nhơn đừng quên ghé quán để thưởng thức những món ăn ở quán nhất là những món được chế biến từ cua, cực kỳ thơm ngon. Tuần nào mình cũng ghé quán vì hơi bị ghiền món lẫu cua, hôm nay review cho anh chị chủ vui tính dễ thương nè 😍😍😍",4
16,"Tại thời gian quá gấp để kịp chuyến bay nên mình chỉ kịp dùng 2 món là cua sốt singgapo và sườn nướng muối ớt. 1 phần cua chỉ 185k nhưng hương vị rất đậm đà, chấm thêm ít bánh mì vừa ngon mà vừa ấm bụng nữa. Phần sườn có vẻ hơi cay nhưng mà cũng rất ngon, hôm sau ít cay xí là vừa miệng.",5
17,"Nhóm mình đi 14 người, thì quán phục vụ rất chậm, chờ mòn mỏi, ăn một món, đợi dạ dày tiêu xong thì kêu phục vụ check món thì mới làm trong khi quán chưa đông khách.
Chất lượng món ăn, nhất là cua không như review, không ngon lắm.
Với giá cả như hbua thì hơi thất vọng.",2
18,"Mình đi du lịch ít khi bình luận về quán nào, nhưg vô quán này mình rất cảm kích, cực thích quán .Chủ quán rất nhiệt tình, hai bé nhân vien chủ đáo giới thiệu toàn món ngon, đặc biệt cua ở đây rất chắc, lẩu cua ngon thơm, món khoai lang kén ngon lắm. Thak quán vị cua, hẹn gặp lại các bạn hè nào đó.",3
19,"Mình vùa trải nghiệm ở quy nhơn 3 ngày , cũng có tham khảo và ăn 1 số quán ở đây. Nhưng tại vị cua thì tôi cảm thấy hài lòng nhất. Các bạn đã cho tôi 1 sự trải nghiệm về ẩm thực . Chúc các bạn buôn may bán đắc",5
